svmName,volumeName,qtreeName,qtreeUsedTotalGB
fabianb-s3-bucket,nfs_s3_bucket,org1,0.01
fabianb-s3-bucket,nfs_s3_bucket,qt01,0.0
fabianb-s3-bucket,nfs_s3_bucket,qt02,1.087
fabianb-s3-bucket,nfs_s3_bucket,qt03,0.018
fabianb-s3-bucket,nfs_s3_bucket,qt04,0.0
fabianb-s3-bucket,nfs_s3_bucket,qt05,0.0
fabianb-s3-bucket,nfs_s3_bucket,-,0.0
filestore,groupshare,share01,0.0
filestore,groupshare,share02,0.0
filestore,groupshare,share03,0.0
filestore,groupshare,share04,0.0
filestore,groupshare,share05,0.0
filestore,groupshare,-,0.0
trident-demo,dubstepcrap_pvc_26c7e7a5_f4e9_4009_98b3_da49591dbba8,-,0.0
trident-demo,dubstepcrap_pvc_53f5626f_fcff_4b76_9ffc_b3928f183d7f,-,0.0
